Ticker,EPS_accel,EPS_YoY_Q0,EPS_YoY_Q1,Rev_accel,Rev_YoY_Q0,Rev_YoY_Q1,asof,periods
6768,Y,-62.5,-65.7,N,8.6,10.9,2026-02-06,8
6864,Y,-122.1,-151.6,N,-3.3,-2.8,2026-01-29,8
6871,Y,36.4,22.9,N,26.1,29.3,2026-02-13,8
6962,Y,538.5,34.8,N,-0.0,0.8,2026-02-10,8
6965,Y,-31.8,-41.7,N,2.6,4.0,2026-02-05,8
6966,Y,-20.7,-40.8,N,3.0,4.2,2025-12-11,8
6996,Y,-42.8,-59.4,N,-6.4,-4.5,2026-02-06,8
7180,Y,48.2,42.4,N,11.4,12.8,2026-02-12,8
7435,Y,128.7,21.2,N,1.9,8.7,2025-12-09,8
7564,Y,23.2,22.5,N,15.5,15.7,2026-02-10,8
7600,Y,-67.4,-85.9,N,-2.9,-1.8,2026-01-30,8
7637,Y,-7.7,-44.1,N,-0.9,0.6,2026-02-20,8
7779,Y,149.5,122.8,N,-8.7,-8.4,2026-02-12,8
7885,Y,247.5,216.4,N,3.8,10.9,2026-02-06,8
8157,Y,90.6,74.4,N,3.1,3.8,2026-01-30,8
8876,Y,-60.5,-68.7,N,4.0,4.1,2026-02-12,8
9069,Y,-15.4,-27.1,N,4.9,5.5,2026-02-13,8
9245,Y,55.9,18.3,N,21.7,22.2,2026-02-13,8
9551,Y,331.9,124.2,N,24.9,27.8,2026-01-28,8
9843,Y,-78.8,-79.4,N,-2.3,-1.5,2026-02-13,8
9941,Y,40.5,-8.6,N,-17.3,4.8,2026-02-13,8
9960,Y,18.9,15.1,N,11.6,14.8,2026-02-13,8
1332,N,16.0,37.8,Y,4.0,2.8,2026-02-06,8
147A,N,408.2,427.6,Y,47.6,35.9,2026-02-12,8
150A,N,-309.9,-246.1,Y,16.1,14.8,2026-02-12,8
1812,N,65.9,122.7,Y,5.9,3.9,2026-02-12,8
1950,N,176.9,903.5,Y,8.2,3.7,2026-01-30,8
2264,N,53.6,55.8,Y,1.6,0.9,2026-02-12,8
2334,N,99.7,100.9,Y,203.1,121.9,2026-02-13,8
2338,N,-492.0,-233.7,Y,-67.4,-75.7,2026-01-13,8
2820,N,58.9,97.1,Y,10.6,9.3,2026-02-12,8
3099,N,15.0,20.3,Y,-2.7,-3.9,2026-02-06,8
3101,N,984.6,4937.2,Y,-2.1,-2.5,2026-02-09,8
3436,N,-159.1,-106.1,Y,3.3,2.6,2026-02-10,8
3441,N,38.8,152.4,Y,30.0,23.0,2025-12-12,8
